days.incubated,estimate,upper95,lower95,pair_id,mesh.type,cohort_id,year,stream,block,species
1,0.013000548273375741,0.026687560004764462,0.0036760837687787127,4,Coarse,6,pre1,WS55,4,ACER
2,0.005727063949657533,0.008639551039939498,0.002736270527688023,4,Coarse,6,pre1,WS55,4,ACER
3,0.004478622116195389,0.006309225644473252,0.00238236852055423,4,Coarse,6,pre1,WS55,4,ACER
4,0.003817640859184873,0.005142971573994789,0.002209424424311886,4,Coarse,6,pre1,WS55,4,ACER
5,0.003386654685948906,0.004446911559247361,0.002040429448098495,4,Coarse,6,pre1,WS55,4,ACER
6,0.003074579165965092,0.003964993731610167,0.001904570314958998,4,Coarse,6,pre1,WS55,4,ACER
7,0.0028336026617607124,0.0036330237449453615,0.00176000213723016,4,Coarse,6,pre1,WS55,4,ACER
8,0.002639200001630525,0.0033336137889287596,0.0016458253638749574,4,Coarse,6,pre1,WS55,4,ACER
9,0.002477291590317456,0.0031256082144773462,0.001560301482579493,4,Coarse,6,pre1,WS55,4,ACER
10,0.002339128636971657,0.0029299319685548142,0.0014533305876183,4,Coarse,6,pre1,WS55,4,ACER
11,0.0022189445742258978,0.002778643063806914,0.0013580217193813059,4,Coarse,6,pre1,WS55,4,ACER
12,0.002112760564189284,0.002643056443025887,0.0012871364251337604,4,Coarse,6,pre1,WS55,4,ACER
13,0.002017728975516902,0.0025290411414869004,0.001203702992310432,4,Coarse,6,pre1,WS55,4,ACER
14,0.0019317498068187758,0.002417072418293409,0.0011320288303837012,4,Coarse,6,pre1,WS55,4,ACER
15,0.001853235209634946,0.0023289245660371755,0.0010552954655173644,4,Coarse,6,pre1,WS55,4,ACER
16,0.0017809588842985214,0.0022499865342164053,9.872417184830658e-4,4,Coarse,6,pre1,WS55,4,ACER
17,0.0017139563762308223,0.0021775667893685494,9.377681570875783e-4,4,Coarse,6,pre1,WS55,4,ACER
18,0.0016514570944655938,0.002109722149149871,8.965371160556779e-4,4,Coarse,6,pre1,WS55,4,ACER
19,0.001592836762418981,0.0020435573515970415,8.500535392828102e-4,4,Coarse,6,pre1,WS55,4,ACER
20,0.0015375834106413008,0.0019910962276341337,7.81802047436469e-4,4,Coarse,6,pre1,WS55,4,ACER
21,0.0014852725724650928,0.0019430009256076635,7.502321636170564e-4,4,Coarse,6,pre1,WS55,4,ACER
22,0.0014355488737326867,0.0018942463274354989,7.02784269494892e-4,4,Coarse,6,pre1,WS55,4,ACER
23,0.0013881121534695799,0.0018568620070591752,6.621003099292636e-4,4,Coarse,6,pre1,WS55,4,ACER
24,0.0013427068524611062,0.0018154299660613363,6.14377056397582e-4,4,Coarse,6,pre1,WS55,4,ACER
25,0.001299113796599536,0.001781893282351273,5.733169882074078e-4,4,Coarse,6,pre1,WS55,4,ACER
26,0.001257143760661312,0.0017487917075473575,5.312453003849302e-4,4,Coarse,6,pre1,WS55,4,ACER
27,0.0012166323732800922,0.0017211085384153271,4.911052957819215e-4,4,Coarse,6,pre1,WS55,4,ACER
28,0.0011774360444537597,0.0016843332427712858,4.538745833224095e-4,4,Coarse,6,pre1,WS55,4,ACER
29,0.0011394286812837176,0.0016568133218187724,4.24044057815396e-4,4,Coarse,6,pre1,WS55,4,ACER
30,0.0011024990175398472,0.0016276331832341198,3.8930423212294336e-4,4,Coarse,6,pre1,WS55,4,ACER
31,0.001066548425746525,0.0015995337051401713,3.569860561951051e-4,4,Coarse,6,pre1,WS55,4,ACER
32,0.0010314891118918031,0.0015718466815225645,3.337400464654509e-4,4,Coarse,6,pre1,WS55,4,ACER
33,9.97242616011459e-4,0.0015446963901118791,3.120610244016742e-4,4,Coarse,6,pre1,WS55,4,ACER
34,9.637385591479336e-4,0.0015176957865176408,2.8600593110085645e-4,4,Coarse,6,pre1,WS55,4,ACER
35,9.309135901631598e-4,0.0014910283566474307,2.5950756510679824e-4,4,Coarse,6,pre1,WS55,4,ACER
36,8.987104957438075e-4,0.0014647805363563074,2.3586069849395515e-4,4,Coarse,6,pre1,WS55,4,ACER
37,8.670774444916152e-4,0.0014408422633865972,2.0723523082089148e-4,4,Coarse,6,pre1,WS55,4,ACER
38,8.359673418275061e-4,0.0014165475446311618,1.8505676262689635e-4,4,Coarse,6,pre1,WS55,4,ACER
39,8.05337276981931e-4,0.00139251161891021,1.5627993615800127e-4,4,Coarse,6,pre1,WS55,4,ACER
40,7.751480469065196e-4,0.001374978289555101,1.2290954676594446e-4,4,Coarse,6,pre1,WS55,4,ACER
