,sample.id,stream,block,species,mesh.type,year,date.deploy,date.collected,intitial.dry.mass.g,days.incubated,final.dry.mass.g,Tin.ID,tin.mass.g,tin.drymass.g,tin.ash.mass.g,month.collected,year.collected,leaf.dm.g,fung.biom.mg,fungal.biom.mg.g.afdm,init.dry_hl,init.afdm.g,tin.afdm.g,prop.afdm,final.drymass.gb,final.afdm.g,final.afdm.fbsub.g,final.afdm.gfb,mass.loss.g,pct.mass.remain,ln.pct.mass.remain,interval,mean.temp
1,W001,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/18/2017,4.99,21,3.25,,3.6241,6.5603,3.9412,12,2017,NA,NA,NA,4.3375,4.153139769,2.6191,0.89200327,3.25,2.899010626,NA,2.899010626,1.254129143,69.80286691,4.245675082,NA,NA
2,W002,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/18/2017,4.93,21,3.28,,3.6536,6.9141,4.0206,12,2017,NA,NA,NA,4.2775,4.095689997,2.8935,0.887440577,3.28,2.910805091,NA,2.910805091,1.184884906,71.0699563,4.263664692,NA,NA
3,W003,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/18/2017,5.06,21,3.37,,3.6411,6.7007,3.9905,12,2017,NA,NA,NA,4.4075,4.220164503,2.7102,0.885802066,3.37,2.985152961,NA,2.985152961,1.235011542,70.73546443,4.258947066,NA,NA
4,W004,TOWR,4,ACER,Coarse,pre1,11/27/2017,2/5/2018,5.02,70,2.06,,3.5303,5.5526,3.7845,2,2018,0.0453,3.09,75.88,4.3675,4.181864655,1.7681,0.874301538,2.06,1.801061168,0.03960586,1.840667028,2.341197628,43.06837539,3.762788978,NA,NA
5,W005,TOWR,4,ACER,Coarse,pre1,11/27/2017,2/5/2018,4.98,70,1.52,,3.55,5.0377,3.7009,2,2018,0.056,2.96,58.68,4.3275,4.143564807,1.3368,0.89856826,1.52,1.365823755,0.050319823,1.416143577,2.72742123,32.96252909,3.495371434,NA,NA
6,W006,TOWR,4,ACER,Coarse,pre1,11/27/2017,2/5/2018,5.07,70,2.74,,3.5146,6.2299,3.8628,2,2018,0.0566,3.32,65.15,4.4175,4.229739465,2.3671,0.871763709,2.74,2.388632564,0.049341826,2.43797439,1.791765076,56.47233318,4.03375084,NA,NA
7,W007,TOWR,4,ACER,Coarse,pre1,11/27/2017,4/2/2018,4.9,126,1.02,,3.53,4.5461,3.6385,4,2018,0.0639,2.94,51.09,4.2475,4.066965111,0.9076,0.893219171,1.02,0.911083555,0.057076705,0.96816026,3.098804851,22.40204993,3.109152469,NA,NA
8,W008,TOWR,4,ACER,Coarse,pre1,11/27/2017,4/2/2018,5.01,126,1.24,,3.5517,4.7902,3.7152,4,2018,0.0766,4.02,58.33,4.3575,4.172289693,1.075,0.867985466,1.24,1.076301978,0.066487687,1.142789665,3.029500028,25.79643451,3.250236285,NA,NA
9,W009,TOWR,4,ACER,Coarse,pre1,11/27/2017,4/2/2018,5.04,126,0.08,,3.5183,3.5955,3.5332,4,2018,0.0223,1.32,65.65,4.3875,4.201014579,0.0623,0.806994819,0.08,0.064559585,0.017995984,0.08255557,4.118459009,1.536761758,0.429677448,NA,NA
10,W010,TOWR,4,ACER,Coarse,pre1,11/27/2017,3/12/2018,5.08,105,1.18,,3.6422,4.9774,3.8096,3,2018,NA,NA,NA,4.4275,4.239314427,1.1678,0.874625524,1.18,1.032058119,NA,1.032058119,3.207256309,24.34492974,3.192323603,NA,NA
11,W011,TOWR,4,ACER,Coarse,pre1,11/27/2017,3/12/2018,5.08,105,1.25,,3.61,4.7543,3.7633,3,2018,NA,NA,NA,4.4275,4.239314427,0.991,0.866031635,1.25,1.082539544,NA,1.082539544,3.156774884,25.53572193,3.240078332,NA,NA
12,W012,TOWR,4,ACER,Coarse,pre1,11/27/2017,3/12/2018,4.92,105,1.91,,3.6561,5.4557,3.9252,3,2018,NA,NA,NA,4.2675,4.086115035,1.5305,0.85046677,1.91,1.624391531,NA,1.624391531,2.461723504,39.7539354,3.68270884,NA,NA
13,W013,TOWR,4,ACER,Coarse,pre1,11/27/2017,3/12/2018,4.94,105,1.78,,3.5287,5.3174,3.8916,3,2018,NA,NA,NA,4.2875,4.105264959,1.4258,0.797115223,1.78,1.418865098,NA,1.418865098,2.686399862,34.56208336,3.542757225,NA,NA
14,W014,TOWR,4,ACER,Coarse,pre1,11/27/2017,3/12/2018,4.96,105,2.09,,3.6816,5.7624,4.0645,3,2018,NA,NA,NA,4.3075,4.124414883,1.6979,0.815984237,2.09,1.705407055,NA,1.705407055,2.419007828,41.34906655,3.722049847,NA,NA
15,W015,TOWR,4,ACER,Coarse,pre1,11/27/2017,3/12/2018,5.04,105,1.46,,3.6055,5.0187,3.8381,3,2018,NA,NA,NA,4.3875,4.201014579,1.1806,0.835409001,1.46,1.219697141,NA,1.219697141,2.981317438,29.03339463,3.368446706,NA,NA
16,W016,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/4/2017,4.99,7,3.46,,3.6548,7.1059,3.9544,12,2017,NA,NA,NA,4.3375,4.153139769,3.1515,0.9131871,3.46,3.159627365,NA,3.159627365,0.993512404,76.07804073,4.331759665,NA,NA
17,W017,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/4/2017,4.92,7,3.45,,3.6131,7.1258,3.9048,12,2017,NA,NA,NA,4.2675,4.086115035,3.221,0.916958465,3.45,3.163506704,NA,3.163506704,0.922608331,77.4208919,4.349256665,NA,NA
18,W018,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/4/2017,4.92,7,3.18,,3.6553,6.7099,3.8972,12,2017,NA,NA,NA,4.2675,4.086115035,2.8127,0.920807962,3.18,2.928169318,NA,2.928169318,1.157945717,71.66145087,4.271952958,NA,NA
19,W020,TOWR,4,ACER,Coarse,pre1,11/27/2017,4/2/2018,5.08,126,0.66,,3.5377,4.1942,3.646,4,2018,0.0148,1.24,92.77,4.4275,4.239314427,0.5482,0.835034273,0.66,0.55112262,0.012358507,0.563481127,3.6758333,13.00027704,2.564970668,NA,NA
20,W021,TOWR,4,ACER,Coarse,pre1,11/27/2017,4/2/2018,4.91,126,0.4,,3.668,4.0727,3.7687,4,2018,0.035,2.58,82.06,4.2575,4.076540073,0.304,0.751173709,0.4,0.300469484,0.02629108,0.326760563,3.74977951,7.370698636,1.997512496,NA,NA
21,W022,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/18/2017,4.95,21,3.29,,3.6247,6.7659,4.0452,12,2017,NA,NA,NA,4.2975,4.114839921,2.7207,0.866133962,3.29,2.849580733,NA,2.849580733,1.265259188,69.25131446,4.237742126,NA,NA
22,W023,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/18/2017,4.97,21,3.12,,3.6795,6.7607,3.9532,12,2017,NA,NA,NA,4.3175,4.133989845,2.8075,0.911170972,3.12,2.842853434,NA,2.842853434,1.291136412,68.76778947,4.230735459,NA,NA
23,W024,TOWR,4,ACER,Coarse,pre1,11/27/2017,12/18/2017,4.93,21,3.08,,3.6744,6.2842,3.8949,12,2017,NA,NA,NA,4.2775,4.095689997,2.3893,0.915510767,3.08,2.819773163,NA,2.819773163,1.275916835,68.84732889,4.231891428,NA,NA
24,W025,TOWR,4,ACER,Coarse,pre1,11/27/2017,2/5/2018,5.04,70,2.87,,3.5425,6.3589,3.9189,2,2018,0.0437,3.05,77.48,4.3875,4.201014579,2.44,0.866354211,2.87,2.486436586,0.037859679,2.524296265,1.676718315,59.18657359,4.080694719,NA,NA
25,W026,TOWR,4,ACER,Coarse,pre1,11/27/2017,2/5/2018,4.96,70,2.76,,3.5209,6.2438,3.9092,2,2018,0.075,0.65,9.58,4.3075,4.124414883,2.3346,0.857394689,2.76,2.366409343,0.064304602,2.430713945,1.693700939,57.37563776,4.049619784,NA,NA
26,W027,TOWR,4,ACER,Coarse,pre1,11/27/2017,2/5/2018,4.92,70,2.77,,3.5216,6.2404,3.9257,2,2018,0.0782,3.09,43.95,4.2675,4.086115035,2.3147,0.851368251,2.77,2.358290054,0.066576997,2.424867052,1.661247984,57.71472497,4.05551234,NA,NA
